,cluster,dist
340,3,2.170389303360718
341,1,3.1295418744371206
342,0,2.378443036226715
343,3,2.2279635393426873
344,3,1.9190128373775206
345,0,5.058936719968124
346,0,3.43248858874723
347,2,3.8357389615295894
348,1,4.056310220723187
349,3,2.09883724860762
350,0,1.7679095149993074
351,3,3.7888697452299884
352,2,1.6294398187980617
353,2,1.6520771683520432
354,3,5.6177559488637625
355,0,4.618977762027965
356,2,2.3883398789754606
357,1,3.1968925496662592
358,1,4.114254983632543
359,3,1.6657945995055174
360,2,3.0874796651578627
361,3,2.108979687914017
362,0,2.6727263616776504
363,2,4.674796625469585
364,0,1.8825743879838923
365,2,2.206455047808046
366,2,3.766006855878861
367,3,2.4092415554416236
368,0,2.35379357877087
369,3,3.1065347016917304
370,2,1.6839656571561794
371,2,1.880067891039246
372,0,2.2066799680342517
373,1,7.533789244457592
374,0,4.472803395390361
375,0,2.407040872475464
376,2,3.7670342743637595
377,2,1.7534768528657891
378,1,4.0421768128328495
379,0,2.4783859725112554
380,1,1.8873568762365693
381,1,4.035048681437028
382,2,4.041998405392842
383,1,1.9605527646191439
384,3,1.8854996531094654
385,3,1.703323358851538
386,2,3.7508349159649454
387,0,2.0601154420410217
388,1,2.443261392633086
389,0,3.5498894200617936
390,3,2.007851605726115
391,0,3.2355550311247154
392,2,2.9893229058559507
393,2,4.6418689725255655
394,0,2.667300422500232
395,2,2.2804909640168898
396,3,2.9301139214200362
397,1,2.0536386072182764
398,2,3.837548580577097
399,2,4.661850423553614
400,0,5.194792557100067
401,0,1.784403227888
402,1,2.363785741527402
403,0,4.476136751137643
404,2,2.284314129874339
405,2,4.668949680583721
406,0,5.212401214448103
407,2,2.041515059181421
408,2,2.4311167587656795
409,2,4.6574618594916295
410,2,3.7104616627415274
411,3,3.850230955722888
412,1,1.895931185173663
413,3,2.383228253268125
414,0,2.731954867613397
415,0,4.186676787912178
416,2,2.505146411943148
417,0,1.511842110779279
418,1,2.9166498846180646
419,2,4.0086239634050616
420,3,2.086015576935647
421,0,4.498022652749632
422,0,2.3675846361842474
423,2,2.1058242876617332
424,2,1.6540968108962617
425,0,2.362249873275052
426,3,1.7682590014955542
427,0,4.476303950897085
428,0,3.301517061194467
429,1,2.411546372034892
430,0,4.607227056877204
431,0,4.4979038016595245
432,1,1.7933985840186473
433,1,3.0417011845200044
434,0,4.171889957741329
435,2,1.7143985666745734
436,0,2.024965516410604
437,2,3.049857872520841
438,0,1.8387887194729082
439,0,2.0494224832088874
440,2,3.0028721596302064
441,1,3.787433319052334
442,1,3.3063712149740696
443,0,2.6804358572996096
444,2,3.9324405226374357
445,0,1.588268206385266
446,2,4.677303697803809
447,3,2.280362506281062
448,3,2.119574927682498
449,2,1.8643630545633372
450,3,2.119574927682498
451,1,2.2172803814755357
452,3,2.250580870448227
453,0,1.677896359327712
454,0,1.606174583761769
455,2,2.826323396791888
456,0,4.1508603641956565
457,0,2.1597644371091076
458,3,4.695485365948147
459,2,3.0052212180219806
460,0,3.706499927099976
461,2,4.771373825728868
462,0,5.074025311014717
463,1,2.3607269004047335
464,1,3.182505202206836
465,0,3.609757252086414
466,2,2.213682144889359
467,3,2.170389303360718
468,0,5.054623464659636
469,2,4.6661291616037905
470,2,4.762093457428883
471,0,4.488278322212111
472,1,2.4826024949789134
473,1,1.6275447918464225
474,3,2.355499884339008
475,0,3.521661510978302
476,3,1.842078469884389
